Name,TwitterHandle,Date,TweetUrl,Text,Location,TimeZone,Language,VizPic,Latitude,Longitude
Troy Kranendonk,TroyKranendonk,1/8/2018 23:23,https://t.co/FQYptPK5YU,"Personality vs Money in America |  #MakeoverMonday |  https://t.co/FQYptPK5YU
@tableaupublic https://t.co/4VmCm9EnXx","Layton, Utah",Mountain Time (US & Canada),en,http://pbs.twimg.com/media/DTDiAM3V4AA2Jf5.jpg,41.0751048,-111.9741925
Frederic Fery,_mydata,1/8/2018 22:50,https://t.co/eV9jwSxirQ,Personality is rated more important than looks (minus Vietnam) according to data provided by @mattsmithetc @YouGov? https://t.co/eV9jwSxirQ,Brisbane Australia,Brisbane,en,,-27.4689682,153.0234991
Dan Harrison,danosirra,1/8/2018 22:19,https://t.co/9VipkPgbl1,Why not use my #Tableau viz to figure out where to go to find people who might find you attractive? #MakeoverMonday? https://t.co/9VipkPgbl1,"Westminster, London",London,en,,51.4973206,-0.137149
Rosario Gauna,rosariogaunag,1/8/2018 22:17,https://t.co/N5O3vtkNWV,Week02 - When People look for Love for #MakeoverMonday according to @yougov data provided by @mattsmithetc |? https://t.co/N5O3vtkNWV,"Nuevo León, México",Pacific Time (US & Canada),en,,26.2384363,-99.8873
sema,semakaran,1/8/2018 22:09,https://t.co/cARHayOjXQ,"Finally I can submit my week2  #MakeoverMonday!  It's good to see that ""Personality"" is ranked by more people for m? https://t.co/cARHayOjXQ","Amsterdam, Nederland",Quito,en,,52.3745403,4.897975506
Shunta  / ????,Dandee_House,1/8/2018 22:04,https://t.co/ikaiCgsPXp,"My first #MakeoverMonday this year!
https://t.co/ikaiCgsPXp https://t.co/YMs6QN5JUl",Unknown,Hawaii,en,http://pbs.twimg.com/media/DTDQEZDUQAAuwRH.jpg,,
Young Song,ycsong21,1/8/2018 21:52,https://t.co/XvxdocTCPf,@TriMyData @VizWizBI @mattsmithetc @YouGov @tableaupublic More cleaned-up version of #MakeoverMonday week 3 submiss? https://t.co/XvxdocTCPf,"Brisbane, Queensland",Unknown,en,,-27.4689682,153.0234991
Kevin Kretzmer,kev_viz,1/8/2018 21:49,https://t.co/ykeHPgrHV0,"Important Characteristics in a Relationship
#MakeoverMonday week 2 2018 #Tableau
https://t.co/ykeHPgrHV0 https://t.co/MPhQSr2Ix0",Unknown,Pacific Time (US & Canada),en,http://pbs.twimg.com/media/DTDManGXkAIkvl7.jpg,,
Michael DiPalma,MichaelLDiPalma,1/8/2018 21:49,https://t.co/PCf5n90rUq,"#MakeoverMonday week 1. Catching up, as I strive for 52 for 52 in 2018! Interactive viz at https://t.co/PCf5n90rUq? https://t.co/ybzxdt8rms",Unknown,Eastern Time (US & Canada),en,,,
Narendran Santhanam,meetnaren,1/8/2018 21:46,https://t.co/Mn9oWP1gsB,"#MakeoverMonday @VizWizBI @YouGov @tableaupublic Personality is indeed more important... well, mostly.? https://t.co/Mn9oWP1gsB",Unknown,Chennai,en,,,
Aparna,AparnaNelapati,1/8/2018 21:36,https://t.co/7RJaOpJwA9,"After Trump Elected H1b Petitions  count reduced.....@tableaupublic 
i am really thankful to #MakeoverMonday ,for t? https://t.co/7RJaOpJwA9",Unknown,Unknown,en,,,
Tiyoke Tiyoke,TiyokeUK,1/8/2018 21:32,NoLink,Makeover time!! #MakeoverMonday #Makeover #suitcase #suitcasecover #travel #holiday #black https://t.co/SxBZU64OXx,"England, United Kingdom",Unknown,en,http://pbs.twimg.com/media/DTDIvUIW4AUwu5G.jpg,52.7954791,-0.540240287
Lee Durbin,lddurbin,1/8/2018 21:28,https://t.co/sktfMQDJqU,In which I re-engage with #MakeoverMonday by re-creating @VizWizBI's Week 1 submission and discover basic Tableau f? https://t.co/sktfMQDJqU,"Ottery St Mary , Rhondda",London,en,,,
Shannon Dussoye ?,shannondussoye,1/8/2018 21:25,https://t.co/4hLzvo7VEo,#MakeoverMonday 2/52: Brit preferences in a romantic partner. Simple area chart to compare Men vs Women preferences? https://t.co/4hLzvo7VEo,"Sydney, New South Wales",Unknown,en,,-33.8548157,151.2164539
Cole Knaflic,storywithdata,1/8/2018 21:09,https://t.co/2oOTXcOMpo,"Ah, now it becomes clear why I've seen so many meat-focused lines: multi-purpose #dataviz crossing #SWDchallenge &amp;? https://t.co/2oOTXcOMpo","San Francisco, CA",Pacific Time (US & Canada),en,,46.8443248,-71.2743272
Paul Morgan,p__morgan,1/8/2018 20:18,https://t.co/fbUnncUa2i,@TriMyData @VizWizBI #MakeoverMonday What is the single most important characteristic people look for in a romantic? https://t.co/fbUnncUa2i,"NC, USA",Eastern Time (US & Canada),en,,35.6729639,-79.0392919
Umar Hassan,umarjourno,1/8/2018 19:57,https://t.co/ZovHWGuzDK,"Really enjoyed this week's difficult #MakeoverMonday dataset. Inspired by the simplicity of @CharlieHTableau, here'? https://t.co/ZovHWGuzDK","Birmingham, England",London,en,,52.4776875,-1.8948516
Jakub Jaros,jarosk88,1/8/2018 19:48,https://t.co/YNQyU1KP2D,"#MakeoverMonday @VizWizBI @TriMyData 
Week 2 - What Characteristics Are Most Important?
https://t.co/YNQyU1KP2D https://t.co/qsIC3Pod5x",Unknown,Unknown,en,http://pbs.twimg.com/media/DTCwvCcW4AASVhP.jpg,,
Michael Pawlus,michaelpawlus,1/8/2018 19:41,https://t.co/PVLB7kke5W,A quick reformatting of the Looks vs. Personality dataset for the #MakeoverMonday project. Thanks to @mattsmithetc? https://t.co/PVLB7kke5W,"Los Angeles, CA",Central Time (US & Canada),en,,34.054935,-118.244476
Andrew Herman,andyth14,1/8/2018 19:32,https://t.co/oVcCPYkxKO,"First ever #MakeoverMonday.... all feedback much appreciated! 
Week  2 | How important is Personality to European M? https://t.co/oVcCPYkxKO",Unknown,Pacific Time (US & Canada),en,,,
Dilyana Suleymanova,DilyanaFlower,1/8/2018 19:29,https://t.co/tPAQ4KkZXA,Forgot to post my viz for #MakeoverMonday  week1 https://t.co/tPAQ4KkZXA https://t.co/ZYeSzk2kEf,"Berlin, Deutschland",Unknown,en,http://pbs.twimg.com/media/DTCsnFRW0AE0-Dm.jpg,52.5170365,13.3888599
Neil Richards,theneilrichards,1/8/2018 19:26,https://t.co/tr3SIRJxsK,What are the most important factors in a romantic partner? https://t.co/tr3SIRJxsK  Inspiration from @OECD Better L? https://t.co/2PPwZ4e3QN,"Derbyshire, UK",London,en,,53.1185033,-1.556617931
Alexander Spät,alexander_spaet,1/8/2018 19:13,https://t.co/QRFduftdNt,"#MakeoverMonday - week 2 - #Tableau - https://t.co/QRFduftdNt - Across the globe, personality is rated as more impo? https://t.co/vbBgLG9WYB",Unknown,Unknown,en,,,
Nirupama Puthur Venkataraman,Nirupamaprv,1/8/2018 18:32,https://t.co/PCwAoJxgEj,My first Tableau Viz Makeover : Looks vs Personality - Week 2: https://t.co/PCwAoJxgEj #MakeoverMonday #Tableau? https://t.co/iOwRgWjZfA,Illinois,Unknown,en,,40.0796319,-89.4339809
Nirupama Puthur Venkataraman,Nirupamaprv,1/8/2018 18:26,https://t.co/PCwAoJxgEj,My First @tableau Makeover : https://t.co/PCwAoJxgEj #MakeoverMonday https://t.co/Bg9iZ9guAh,Illinois,Unknown,en,http://pbs.twimg.com/media/DTCeFtAWkAA47HD.jpg,40.0796319,-89.4339809
Narendran Santhanam,meetnaren,1/8/2018 18:04,https://t.co/nYWdn6twzm,"#MakeoverMonday replicating @YouGov's chart: https://t.co/nYWdn6twzm
@VizWizBI",Unknown,Chennai,en,,,
Scott Pflugler,spflugler,1/8/2018 17:30,https://t.co/k4xYtg99Ba,Data set provided by @mattsmithetc and @YouGov.  This week's #MakeoverMonday is ranking global relationship charact? https://t.co/k4xYtg99Ba,"Jersey City, NJ",Eastern Time (US & Canada),en,,40.7281575,-74.0776417
Matt Francis,Matt_Francis,1/8/2018 17:27,https://t.co/lAQXbtjJ1T,For #MakeoverMonday according to @yougov data provided by @mattsmithetc what makes the perfect partner?? https://t.co/lAQXbtjJ1T,UK,Amsterdam,en,,54.7023545,-3.2765753
Simon Beaumont,SimonBeaumont04,1/8/2018 17:11,https://t.co/tsJMcvMuQB,"'Men and from Mars, Women are from Venus'

My #MakeoverMonday attempts to analyse the differences, across the globe? https://t.co/tsJMcvMuQB","Portsmouth, England",Unknown,en,,50.8036831,-1.075614
Matt Francis,Matt_Francis,1/8/2018 17:01,https://t.co/acNnhqaWBq,Doubling up #MakeoverMonday with @storywithdata #SWDchallenge is a look at how Beef and Chicken Prices have changed? https://t.co/acNnhqaWBq,UK,Amsterdam,en,,54.7023545,-3.2765753
Matt Francis,Matt_Francis,1/8/2018 16:48,NoLink,arggghh why can't you format @tableau filter and parameter selected values!! #MakeoverMonday https://t.co/nOSxZuTAw3,UK,Amsterdam,en,http://pbs.twimg.com/media/DTCH1lkWAAAOE6R.jpg,54.7023545,-3.2765753
Curtis Harris,Harris7Curtis,1/8/2018 16:01,https://t.co/3s5uiwvvGy,#MakeoverMonday Week 2 | Global Romantic Partner Preferences https://t.co/3s5uiwvvGy https://t.co/domqxj5dUJ,"Salt Lake City, UT",Pacific Time (US & Canada),en,http://pbs.twimg.com/media/DTB84I0U0AYkCKD.jpg,40.7670126,-111.8904308
Rodrigo Calloni,tableauing,1/8/2018 15:56,https://t.co/EWzHwLDbd0,@TriMyData @CarstenWeidmann @sadanduseless ?rest well and soon you will be fine. BTW I did 90% of my? https://t.co/EWzHwLDbd0,"Washington, DC",Unknown,en,,38.8949549,-77.0366456
