Name,TwitterHandle,Date,TweetUrl,Text,Location,TimeZone,Language,VizPic,Latitude,Longitude
Paula Jennings,PjTrilobyte,2018-02-06 23:06:14,https://t.co/ODE86HQ1iZ,@VizWizBI @TriMyData #MakeoverMonday #Tableau Week 6  African American Baseball W.E.B. DuBois style… https://t.co/ODE86HQ1iZ,Calgary,,en,,51.02532675,-114.049868485806
Surya Teja,suryateja110,2018-02-06 22:54:49,https://t.co/NKgBZczezU,"#Makeovermonday Week 6 - MLB players demographics.
https://t.co/NKgBZczezU @VizWizBI @TriMyData https://t.co/NxMFQBLwf1","Philadelphia, PA",,en,http://pbs.twimg.com/media/DVYw7YxWkAAOmjg.jpg,39.9523993,-75.1635899
Soham Wadekar,highonviz,2018-02-06 22:45:56,https://t.co/AUJKVem5xa,Late post for this weeks MakeoverMonday. Just an attempt to create a small info-graphic reasoning the decline of bl… https://t.co/AUJKVem5xa,"New Jersey, USA",Pacific Time (US & Canada),en,,40.0757384,-74.4041622
Sergey Yasinov,SergeyYas,2018-02-06 21:48:37,https://t.co/LM7Xy9klQe,"#MakeoverMonday Week 6
https://t.co/LM7Xy9klQe https://t.co/GJEzU1KwTw",Israel,Pacific Time (US & Canada),en,http://pbs.twimg.com/tweet_video_thumb/DVYiWWAX0AECyKL.jpg,30.8760272,35.0015196
Mehsam Raza Hemani,LucidDataArtist,2018-02-06 21:10:16,https://t.co/k0EgaEGNGr,"Have tried the power of Tableau 10.5? Watch our founder create a fantastic first time ""Viz in Tooltips"" :… https://t.co/k0EgaEGNGr",Karachi,Karachi,en,,25.147872,67.1821931713384
Curtis Harris,Harris7Curtis,2018-02-06 20:37:43,https://t.co/tUseuwCI73,"Lucky to work alongside this talented individual, nice work on this week's #MakeoverMonday Jodi!… https://t.co/tUseuwCI73","Salt Lake City, UT",Pacific Time (US & Canada),en,,40.7670126,-111.8904308
Christopher Scott,cgscottDVA,2018-02-06 20:04:09,https://t.co/W04Bv2rZZl,In bringing diversity and color to the MLB the three athletes highlighted in this week's #makeovermonday led the wa… https://t.co/W04Bv2rZZl,"Raleigh, NC",Pacific Time (US & Canada),en,,35.7803977,-78.6390989
Jodi Stamm,JodiStamm,2018-02-06 19:55:01,https://t.co/dp35g2KRAh,Makeover Monday W6: Baseball Demographics (1947-2016). Barbells &amp; lollipops. A good description of me and my viz.?… https://t.co/dp35g2KRAh,"Salt Lake City, Utah",Mountain Time (US & Canada),en,,40.7879394,-111.9783931
marcela janowska,ekomarcek,2018-02-06 19:39:15,https://t.co/kWDMmSYCYo,"#MakeoverMonday Week 6 | the pace of diversity changes in American baseball 
@tableaupublic  @tableau… https://t.co/kWDMmSYCYo","Romsey, England",,en,,50.9932664,-1.48950577948512
Mehsam Raza Hemani,LucidDataArtist,2018-02-06 19:32:03,https://t.co/R2LYWNh3Pt,"My first Viz in @tableaupublic 10.5 with Viz in Tooltips one of my Favorites.
Week 6: Baseball Players Demographics… https://t.co/R2LYWNh3Pt",Karachi,Karachi,en,,25.147872,67.1821931713384
Rodrigo Calloni,tableauing,2018-02-06 19:29:11,https://t.co/L0g5rIyE1x,#makeovermonday candidate from @USToday https://t.co/L0g5rIyE1x https://t.co/JSlNwjoS9s,"Washington, DC",,en,http://pbs.twimg.com/media/DVYCs5MVQAAeeyQ.jpg,38.8949549,-77.0366456
Dilyana Suleymanova,DilyanaFlower,2018-02-06 19:18:34,https://t.co/dHXqSZnDy2,"I read about #BlackHistoryMonth too late. Therefore, the tweet about my  #makeovermonday for Week 6 with the right… https://t.co/dHXqSZnDy2","Berlin, Deutschland",Pacific Time (US & Canada),en,,52.5170365,13.3888599
Simon Beaumont,SimonBeaumont04,2018-02-06 19:08:32,https://t.co/ZLyFEnMl9P,"Damn our @tableau community is awesome!

An update to my #MakeoverMonday #visualizediversity #BlackHistoryMonth viz… https://t.co/ZLyFEnMl9P","Portsmouth, England",,en,,50.8036831,-1.075614
Adolfo Hernandez,JadolfoHC,2018-02-06 19:06:18,https://t.co/v6zjiqfBxi,"#Excel version of my latest #MakeoverMonday #dataviz, @MLB Ethnicity Demographics from 1947-2016. Added functionali… https://t.co/v6zjiqfBxi",Mexico,,en,,19.4326009,-99.1333416
Doug Stanley,doug_stanley,2018-02-06 19:05:48,https://t.co/WWJQDeJ7Ht,"After declining for decades, the gap between the share of white and non-white MLB players began to widen in 2005. S… https://t.co/WWJQDeJ7Ht","Tampa, FL",Eastern Time (US & Canada),en,,27.9477595,-82.458444
TD™ ??,TarunTweeting,2018-02-06 18:44:17,https://t.co/zfDs63Vino,"Baseball Demographics, 1947-2016. My Viz on The Rise and Fall of African American Players from 1947 to 2016… https://t.co/zfDs63Vino","Bangalore, India",New Delhi,en,,12.9791198,77.5912997
Sean Miller,kcmillersean,2018-02-06 18:05:47,https://t.co/T7UCK25zyP,"Since Jackie Robinson broke the @mlb color barrier in 1947, the racial gap has closed significantly but has been re… https://t.co/T7UCK25zyP","Kansas City, MO",Central Time (US & Canada),en,,38.73285,-94.534816
datadotworld,datadotworld,2018-02-06 18:01:00,https://t.co/6pmpXv5CkA,Join the #MakeoverMonday community for a live webinar on Feb 7th at 10am to discuss selected data visualizations fr… https://t.co/6pmpXv5CkA,"Austin, TX",Central Time (US & Canada),en,,30.2711286,-97.7436995
Nurul Shi,NurulShi12,2018-02-06 17:59:39,https://t.co/uCaru0nGHN,I'm back for #MakeoverMonday after missing the last 3! I made a promise to myself that I'll tackle every single wee… https://t.co/uCaru0nGHN,,,en,,,
Steven Markham,stevenjmarkham,2018-02-06 17:32:28,https://t.co/AaTBFmLIyw,"Trying a new thing: here's my week 6 MakeOver Monday Viz: https://t.co/AaTBFmLIyw

@VizWizBI @TriMyData… https://t.co/g1jXlcrbos","Seattle, Washington",Pacific Time (US & Canada),en,,47.6038321,-122.3300624
Todd Faulls,sciamop,2018-02-06 17:30:28,https://t.co/AhlrJ3N6Fi,"I made something! African American participation in MLB 1947 to Present
#dataviz #makeovermonday week 6… https://t.co/AhlrJ3N6Fi",California,Quito,en,,36.7014631,-118.7559974
Sean Ramsdale,GreyRamAnalytic,2018-02-06 15:43:36,https://t.co/6tEMSN2rM3,"@TriMyData @VizWizBI 
Just basic trend charts
#MakeoverMonday #Tableau
https://t.co/6tEMSN2rM3
Week 06 2018… https://t.co/U47QhGCPQs","Austin, TX",,en,,30.2711286,-97.7436995
Mahfooj Khan,mahfooj01,2018-02-06 15:22:52,https://t.co/yrKyJkQKXQ,#VisualizeDiversity #MakeoverMonday Week6: Ethnic Diversity of Major League Baseball (1947-2016) @VizWizBI… https://t.co/yrKyJkQKXQ,"Kolkata, India",,en,,22.5677459,88.3476023
robbin vernooij,RobbinVernooij,2018-02-06 14:37:09,https://t.co/ETkggZ1p5w,"#MakeoverMonday Week 6 #MMVizReview
Some data re-visualisation; highlighting changes within American Baseball Team… https://t.co/ETkggZ1p5w",,,en,,,
Nish Goel,thevizlover,2018-02-06 14:19:43,https://t.co/BFixdakxMV,"Super inspired by so many fab vizzes, I've just created another #MakeoverMonday week 06 visual. Need your help agai… https://t.co/BFixdakxMV","West Midlands, England",London,en,,52.5050033,-1.96439612333127
Klaus Schulte,ProfDrKSchulte,2018-02-06 11:46:55,https://t.co/h0j3fRV1dJ,"@sarahlovesdata @Kantar Yes I did. I think it has been my only #makeovermonday/#VizForSocialGood viz so far, that d… https://t.co/h0j3fRV1dJ","Münster, Deutschland",,en,,51.9501317,7.61330165026119
Lee,leecarter,2018-02-06 10:25:30,https://t.co/DFqAT4UMak,For this week's #MakeoverMonday I thought a little bit too far out of the box... Did Michael Jordan cause a decline… https://t.co/DFqAT4UMak,"Manchester, England",London,en,,53.4791301,-2.2441009
nik azinuddin,nikazinuddin,2018-02-06 09:46:53,https://t.co/gkqmbMRAPJ,"The changing demographics of MLB Players. #MakeoverMonday #VisualizeDiversity 
https://t.co/gkqmbMRAPJ https://t.co/mlBHOUv2xd","Kuala Lumpur Federal Territory, Malaysia",,en,http://pbs.twimg.com/media/DVV81tNVMAArYKw.jpg,2.7243827,101.7381037
Jack Horton,JackHorton95,2018-02-06 08:34:33,https://t.co/b6E0fURO0q,"Did the rise of the NBA cause a decline in African American Baseball players? 
Check out my #MakeoverMonday Week 6!… https://t.co/b6E0fURO0q",,Pacific Time (US & Canada),en,,,
TK,takazi88,2018-02-06 08:23:12,https://t.co/qls7UqZJNk,"#MakeoverMonday Week-06
Baseball Demographics (1947-2016)
Viz link : https://t.co/qls7UqZJNk @tableau… https://t.co/eG33zi4Kzb","Bengaluru, India",,en,,12.9791198,77.5912997
Young Song,ycsong21,2018-02-06 07:54:37,https://t.co/vPJCWxSDfs,"#MakeoverMonday W06: Ethnic diversity in the professional baseball.  #BlackHistoryMonth #visualizediversity 

Link:… https://t.co/vPJCWxSDfs","Brisbane, Queensland",,en,,-27.4689682,153.0234991
Slavik Glazyrin,slavikWorks,2018-02-06 05:57:17,https://t.co/eJtBKUuCoL,#dataviz #VisualizeDiversity How did player demographics in baseball changed in the past 70 years? @TriMyData this… https://t.co/eJtBKUuCoL,"Vancouver, Canada",,en,,49.2608724,-123.1139529
Ivan Seow,ivseow,2018-02-06 03:01:17,https://t.co/l3gme1bULc,A quick piece behind our #MakeoverMonday week 6 submission - read on and find out how we used @YellowfinBI set anal… https://t.co/l3gme1bULc,"Melbourne, Victoria",Melbourne,en,,-37.8142176,144.9631608
Alaina Prevot,alainaprevot,2018-02-06 02:52:31,https://t.co/D8lpOLgH9G,A little late but took my first stab at #MakeoverMonday featuring last week's data on some of the most profitable U… https://t.co/D8lpOLgH9G,"Washington, DC",Eastern Time (US & Canada),en,,38.8949549,-77.0366456
Robert Crocker,robcrock,2018-02-06 02:38:30,https://t.co/IjyRpgphrx,@JohnnyData22 has been doing a great job with the data Python data pipeline for our #MakeoverMonday dashboard ?… https://t.co/IjyRpgphrx,,Pacific Time (US & Canada),en,,,
Peter Empey,PeterEmpey,2018-02-06 02:31:42,https://t.co/GJFmkQbXvn,"Forgot to mention that my inspiration this week for my #MakeoverMonday, https://t.co/GJFmkQbXvn, was @storywithdata https://t.co/yQ3NLbs6iZ","Bountiful, UT",,en,,40.8894611,-111.8804817
Peter Empey,PeterEmpey,2018-02-06 02:22:40,https://t.co/vPiqHIQI2e,Here is my Week 6 for #MakeoverMonday. Keeping it simple with an ethnicity breakdown on the MLB. #dataviz… https://t.co/vPiqHIQI2e,"Bountiful, UT",,en,,40.8894611,-111.8804817
Paul Wachtler,PaulWachtlerPMP,2018-02-06 01:26:51,https://t.co/BzZNGEFeZM,#MakeoverMonday 2018 Week 6 - WAR: What Is It Good For?  Looking at ethnic breakdown in baseball from 1947 to 2016… https://t.co/BzZNGEFeZM,Washing,,en,,4.7102396,-74.1286848
Kate Brown,katebrown_5,2018-02-06 00:44:15,https://t.co/usPr2u0OEx,made an attempt at #makeovermonday in power bi earlier today and didn't love the result so I did a Tableau version… https://t.co/usPr2u0OEx,"Boston, MA",Eastern Time (US & Canada),en,,42.3604823,-71.0595678
Bruce Henry,FPVdata,2018-02-06 00:43:51,https://t.co/pECmu2sjzk,"#MakeoverMonday 
Black History month and MLB
https://t.co/pECmu2sjzk https://t.co/kPAmauvqO8","Cincinnati, OH",,en,http://pbs.twimg.com/media/DVUBBBWU0AMUlAl.jpg,39.1014537,-84.5124602
